,age,salary,add_comp,overall_exp,job_exp,education,gender
1424,45-54,105280.0,0.0,31 - 40 years,31 - 40 years,Master's degree,Man
1425,45-54,87420.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
1426,25-34,58649.99999999999,1035.0,8 - 10 years,5-7 years,Some college,Woman
1427,55-64,56400.0,4700.0,31 - 40 years,31 - 40 years,Master's degree,Woman
1428,25-34,33840.0,564.0,8 - 10 years,2 - 4 years,Master's degree,Woman
1429,45-54,52640.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
1430,35-44,77625.0,13799.999999999998,11 - 20 years,8 - 10 years,Master's degree,Woman
1431,25-34,45000.0,800.0,5-7 years,5-7 years,Master's degree,Woman
1432,25-34,77080.0,7708.0,8 - 10 years,5-7 years,College degree,Woman
1433,18-24,42300.0,0.0,1 year or less,1 year or less,College degree,Woman
1434,25-34,108100.0,0.0,8 - 10 years,8 - 10 years,PhD,Woman
1435,35-44,70500.0,0.0,11 - 20 years,5-7 years,Master's degree,Woman
1436,55-64,60348.0,0.0,31 - 40 years,31 - 40 years,Some college,Woman
1437,25-34,97468.59999999999,0.0,5-7 years,5-7 years,Master's degree,Woman
1438,35-44,76140.0,1880.0,11 - 20 years,11 - 20 years,College degree,Woman
1439,35-44,70500.0,18800.0,21 - 30 years,11 - 20 years,PhD,Woman
1440,45-54,40710.0,0.0,11 - 20 years,5-7 years,Master's degree,Woman
1441,35-44,112800.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
1442,35-44,101426.0,3102.0,11 - 20 years,8 - 10 years,Some college,Man
1443,35-44,61100.0,1222.0,11 - 20 years,11 - 20 years,College degree,Woman
1444,35-44,65800.0,0.0,5-7 years,5-7 years,High School,Man
1445,35-44,60160.0,4700.0,11 - 20 years,2 - 4 years,College degree,Man
1446,25-34,33840.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
1447,25-34,117500.0,16450.0,5-7 years,2 - 4 years,College degree,Woman
1448,35-44,47000.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
1449,45-54,56350.0,0.0,21 - 30 years,11 - 20 years,Some college,Woman
1450,25-34,126900.0,37600.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1451,25-34,80009.04,8000.339999999999,8 - 10 years,5-7 years,Master's degree,Woman
1452,35-44,89300.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
1453,55-64,178600.0,0.0,31 - 40 years,31 - 40 years,College degree,Woman
1454,25-34,61418.659999999996,0.0,8 - 10 years,8 - 10 years,College degree,Woman
1455,25-34,56400.0,1410.0,2 - 4 years,2 - 4 years,College degree,Woman
1456,35-44,112800.0,8460.0,11 - 20 years,11 - 20 years,College degree,Woman
1457,45-54,40710.0,3104.9999999999995,21 - 30 years,21 - 30 years,Some college,Woman
1458,35-44,70500.0,0.0,11 - 20 years,1 year or less,Master's degree,Woman
1459,18-24,62970.6,1410.0,2 - 4 years,2 - 4 years,College degree,Woman
1460,18-24,35720.0,0.0,2 - 4 years,1 year or less,College degree,Woman
1461,35-44,120320.0,61100.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1462,25-34,36660.0,0.0,5-7 years,5-7 years,Some college,Woman
1463,35-44,51125.659999999996,0.0,11 - 20 years,11 - 20 years,Master's degree,Man
1464,35-44,79242.0,0.0,11 - 20 years,2 - 4 years,PhD,Woman
1465,25-34,40420.0,0.0,11 - 20 years,2 - 4 years,Master's degree,Woman
1466,25-34,33500.0,2000.0,5-7 years,5-7 years,Master's degree,Man
1467,25-34,72615.0,7261.5,5-7 years,5-7 years,College degree,Woman
1468,25-34,89300.0,0.0,5-7 years,2 - 4 years,College degree,Woman
1469,25-34,68620.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
1470,35-44,97760.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
1471,35-44,40250.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
1472,25-34,74750.0,5750.0,5-7 years,2 - 4 years,College degree,Woman
1473,45-54,82720.0,0.0,21 - 30 years,21 - 30 years,College degree,Woman
1474,35-44,32749.6,658.0,11 - 20 years,1 year or less,College degree,Woman
1475,35-44,70500.0,9400.0,5-7 years,2 - 4 years,College degree,Woman
1476,35-44,73320.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Man
1477,25-34,157920.0,47000.0,8 - 10 years,5-7 years,PhD,Man
1478,25-34,95880.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Man
1479,25-34,42300.0,7520.0,5-7 years,2 - 4 years,Some college,Woman
1480,18-24,35193.6,0.0,1 year or less,1 year or less,College degree,Woman
1481,35-44,108100.0,18800.0,11 - 20 years,5-7 years,College degree,Woman
1482,35-44,54164.99999999999,0.0,11 - 20 years,2 - 4 years,Master's degree,Woman
1483,35-44,61992.06,0.0,11 - 20 years,5-7 years,Master's degree,Non-binary
1484,35-44,145700.0,940.0,11 - 20 years,5-7 years,Master's degree,Woman
1485,35-44,32900.0,0.0,8 - 10 years,2 - 4 years,Some college,Woman
1486,35-44,96820.0,4700.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1487,25-34,78660.0,1380.0,5-7 years,5-7 years,PhD,Woman
1488,35-44,164500.0,28200.0,11 - 20 years,11 - 20 years,College degree,Woman
1489,55-64,47000.0,0.0,31 - 40 years,31 - 40 years,College degree,Woman
1490,45-54,49820.0,0.0,11 - 20 years,5-7 years,College degree,Woman
1491,25-34,50760.0,0.0,5-7 years,2 - 4 years,Master's degree,Woman
1492,25-34,60160.0,1974.0,8 - 10 years,41 years or more,College degree,Woman
1493,25-34,53819.99999999999,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1494,25-34,87420.0,0.0,8 - 10 years,8 - 10 years,PhD,Woman
1495,35-44,94000.0,11280.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1496,35-44,150400.0,42300.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1497,18-24,51700.0,9400.0,5-7 years,2 - 4 years,Some college,Woman
1498,45-54,103400.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
1499,55-64,38910.36,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1500,35-44,83660.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
1501,35-44,51700.0,235.0,11 - 20 years,5-7 years,College degree,Woman
1502,35-44,54849.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1503,55-64,50760.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
1504,35-44,58649.99999999999,0.0,11 - 20 years,8 - 10 years,College degree,Woman
1505,25-34,100717.23999999999,2350.0,5-7 years,5-7 years,Master's degree,Woman
1506,25-34,48880.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
1507,35-44,63450.0,0.0,11 - 20 years,5-7 years,College degree,Woman
1508,35-44,84600.0,16920.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1509,25-34,35720.0,2350.0,11 - 20 years,8 - 10 years,College degree,Woman
1510,45-54,74750.0,9200.0,21 - 30 years,11 - 20 years,College degree,Woman
1511,25-34,60160.0,1410.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1512,35-44,42550.0,575.0,21 - 30 years,2 - 4 years,Master's degree,Woman
1513,45-54,75200.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
1514,25-34,141000.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1515,35-44,106220.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
1516,25-34,31739.999999999996,1380.0,8 - 10 years,8 - 10 years,Some college,Woman
1517,25-34,34310.0,0.0,5-7 years,5-7 years,Master's degree,Non-binary
1518,35-44,106596.0,11280.0,11 - 20 years,2 - 4 years,Some college,Woman
1519,25-34,35845.5,0.0,5-7 years,2 - 4 years,PhD,Woman
1520,25-34,145700.0,0.0,5-7 years,5-7 years,College degree,Woman
1521,25-34,44650.0,2820.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1522,65 or over,86010.0,8930.0,41 years or more,21 - 30 years,Master's degree,Woman
1523,35-44,66422.28,0.0,8 - 10 years,8 - 10 years,College degree,Woman
1524,35-44,96820.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
1525,25-34,48299.99999999999,6899.999999999999,8 - 10 years,8 - 10 years,College degree,Woman
1526,25-34,77550.0,6580.0,5-7 years,2 - 4 years,PhD,Woman
1527,18-24,31960.0,0.0,5-7 years,1 year or less,College degree,Woman
1528,45-54,79900.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
1529,55-64,84600.0,7050.0,31 - 40 years,11 - 20 years,Some college,Woman
1530,35-44,66740.0,6110.0,11 - 20 years,11 - 20 years,College degree,Woman
1531,35-44,79900.0,1880.0,11 - 20 years,5-7 years,College degree,Woman
1532,35-44,49820.0,0.0,5-7 years,5-7 years,College degree,Woman
1533,25-34,42300.0,1880.0,8 - 10 years,2 - 4 years,College degree,Woman
1534,25-34,89300.0,9400.0,8 - 10 years,8 - 10 years,Master's degree,Man
1535,35-44,69000.0,3449.9999999999995,11 - 20 years,8 - 10 years,Master's degree,Woman
1536,35-44,56400.0,1880.0,11 - 20 years,11 - 20 years,PhD,Woman
1537,35-44,69560.0,0.0,21 - 30 years,8 - 10 years,College degree,Woman
1538,35-44,82250.0,1880.0,11 - 20 years,5-7 years,College degree,Woman
1539,25-34,134908.8,8460.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1540,35-44,88360.0,2820.0,11 - 20 years,11 - 20 years,College degree,Woman
1541,35-44,63450.0,4700.0,21 - 30 years,5-7 years,Master's degree,Woman
1542,25-34,87968.01999999999,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1543,35-44,47940.0,0.0,11 - 20 years,2 - 4 years,Master's degree,Woman
1545,25-34,35880.0,0.0,11 - 20 years,2 - 4 years,College degree,Woman
1546,35-44,59220.0,9400.0,11 - 20 years,8 - 10 years,College degree,Woman
1547,35-44,122200.0,2350.0,11 - 20 years,11 - 20 years,PhD,Woman
1548,25-34,47000.0,1457.0,5-7 years,5-7 years,Master's degree,Woman
1549,25-34,77080.0,4700.0,8 - 10 years,8 - 10 years,College degree,Woman
1550,25-34,47940.0,7520.0,2 - 4 years,2 - 4 years,College degree,Woman
1551,55-64,29914.559999999998,0.0,31 - 40 years,5-7 years,College degree,Woman
1552,25-34,60630.0,0.0,8 - 10 years,5-7 years,College degree,Woman
1553,25-34,41262.0,1380.0,5-7 years,5-7 years,Master's degree,Woman
1554,25-34,54520.0,0.0,5-7 years,2 - 4 years,College degree,Woman
1555,25-34,81780.0,5640.0,11 - 20 years,11 - 20 years,College degree,Woman
1556,35-44,117500.0,33840.0,11 - 20 years,5-7 years,High School,Other or prefer not to answer
1557,25-34,35720.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
1558,25-34,41630.0,0.0,11 - 20 years,5-7 years,Master's degree,Woman
1559,45-54,172020.0,28200.0,11 - 20 years,11 - 20 years,Master's degree,Man
1560,45-54,97760.0,23500.0,21 - 30 years,21 - 30 years,Master's degree,Woman
1561,55-64,61100.0,0.0,31 - 40 years,31 - 40 years,College degree,Woman
1562,25-34,47000.0,0.0,8 - 10 years,5-7 years,College degree,Woman
1563,35-44,76140.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1564,25-34,62810.799999999996,6281.08,11 - 20 years,2 - 4 years,College degree,Woman
1565,35-44,80730.0,0.0,11 - 20 years,11 - 20 years,PhD,Woman
1566,18-24,10584.0,0.0,2 - 4 years,2 - 4 years,Some college,Woman
1567,45-54,43240.0,2820.0,21 - 30 years,11 - 20 years,College degree,Man
1568,35-44,56400.0,14.1,11 - 20 years,11 - 20 years,Master's degree,Woman
1569,25-34,39480.0,423.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1570,25-34,32429.999999999996,0.0,2 - 4 years,2 - 4 years,College degree,Woman
1571,35-44,122200.0,11280.0,11 - 20 years,11 - 20 years,Master's degree,Man
1572,25-34,209620.0,0.0,5-7 years,5-7 years,College degree,Woman
1573,55-64,235000.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
1574,25-34,58280.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1575,45-54,126900.0,0.0,21 - 30 years,5-7 years,Master's degree,Woman
1576,35-44,57959.99999999999,0.0,8 - 10 years,8 - 10 years,PhD,Woman
1577,25-34,65800.0,2820.0,8 - 10 years,8 - 10 years,College degree,Woman
1578,35-44,65800.0,1880.0,8 - 10 years,8 - 10 years,PhD,Woman
1579,25-34,46000.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
1580,35-44,99640.0,20680.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1581,25-34,59220.0,0.0,5-7 years,2 - 4 years,College degree,Woman
1582,25-34,49820.0,1410.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1583,25-34,136300.0,9541.0,5-7 years,2 - 4 years,College degree,Woman
1585,35-44,51700.0,1410.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1586,25-34,33370.0,1880.0,5-7 years,2 - 4 years,College degree,Woman
1587,45-54,91180.0,13160.0,31 - 40 years,21 - 30 years,Master's degree,Woman
1588,18-24,29140.0,0.0,5-7 years,2 - 4 years,College degree,Woman
1589,25-34,68620.0,6580.0,8 - 10 years,5-7 years,Master's degree,Woman
1590,25-34,65800.0,2820.0,8 - 10 years,5-7 years,College degree,Man
1591,25-34,201160.0,14100.0,11 - 20 years,5-7 years,Master's degree,Woman
1592,25-34,71440.0,0.0,8 - 10 years,5-7 years,PhD,Woman
1593,35-44,48880.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
1594,45-54,105280.0,9400.0,21 - 30 years,11 - 20 years,College degree,Woman
1595,35-44,44850.0,0.0,11 - 20 years,11 - 20 years,PhD,Woman
1596,45-54,94282.0,4700.0,31 - 40 years,21 - 30 years,Some college,Man
1597,35-44,99704.99999999999,0.0,11 - 20 years,11 - 20 years,PhD,Man
1598,35-44,45011.0,2300.0,21 - 30 years,11 - 20 years,Some college,Woman
1599,35-44,50714.99999999999,5520.0,11 - 20 years,11 - 20 years,College degree,Woman
1600,35-44,161680.0,47000.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1601,25-34,42300.0,1410.0,8 - 10 years,5-7 years,College degree,Woman
1602,25-34,32749.6,940.0,8 - 10 years,8 - 10 years,College degree,Woman
1603,25-34,72615.0,0.0,2 - 4 years,2 - 4 years,College degree,Non-binary
1604,25-34,41400.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1605,45-54,98700.0,752.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1606,25-34,48880.0,0.0,11 - 20 years,2 - 4 years,College degree,Woman
1607,25-34,122.19999999999999,0.0,8 - 10 years,8 - 10 years,PhD,Woman
1608,25-34,70500.0,0.0,5-7 years,5-7 years,Master's degree,Woman
1609,35-44,37950.0,4830.0,8 - 10 years,5-7 years,College degree,Woman
1610,25-34,54520.0,470.0,11 - 20 years,8 - 10 years,Master's degree,Man
1611,25-34,35908.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
1612,45-54,41360.0,0.0,11 - 20 years,2 - 4 years,College degree,Woman
1613,35-44,103400.0,10340.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1614,25-34,133480.0,20492.0,2 - 4 years,2 - 4 years,PhD,Other or prefer not to answer
1615,35-44,43700.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1616,45-54,77080.0,1880.0,21 - 30 years,2 - 4 years,Master's degree,Woman
1617,25-34,53580.0,1410.0,5-7 years,2 - 4 years,College degree,Woman
1618,35-44,56400.0,940.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1619,35-44,57810.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1620,25-34,51655.82,0.0,5-7 years,2 - 4 years,Master's degree,Woman
1621,35-44,65800.0,1410.0,8 - 10 years,5-7 years,College degree,Woman
1622,18-24,24839.999999999996,0.0,2 - 4 years,2 - 4 years,College degree,Woman
1623,35-44,45692.46,0.0,11 - 20 years,5-7 years,Master's degree,Woman
1624,25-34,81420.0,7589.999999999999,8 - 10 years,8 - 10 years,College degree,Woman
1625,35-44,43376.299999999996,658.0,21 - 30 years,11 - 20 years,Master's degree,Woman
1626,45-54,61100.0,18800.0,21 - 30 years,8 - 10 years,Master's degree,Woman
1627,25-34,112800.0,940.0,5-7 years,5-7 years,College degree,Woman
1628,25-34,58280.0,0.0,5-7 years,5-7 years,Master's degree,Man
1629,25-34,89300.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
1630,25-34,47000.0,3478.0,11 - 20 years,11 - 20 years,College degree,Woman
1631,25-34,47150.399999999994,0.0,2 - 4 years,2 - 4 years,College degree,Woman
1632,25-34,60630.0,0.0,5-7 years,5-7 years,Master's degree,Woman
1633,35-44,137240.0,4700.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1634,35-44,82156.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1635,25-34,58280.0,2820.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1636,25-34,75200.0,0.0,5-7 years,5-7 years,Master's degree,Woman
1637,45-54,66740.0,1880.0,11 - 20 years,11 - 20 years,College degree,Woman
1638,35-44,57340.0,940.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1639,35-44,44850.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
1640,35-44,48269.0,1410.0,21 - 30 years,8 - 10 years,Master's degree,Woman
1641,25-34,29140.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Woman
1642,35-44,59220.0,2350.0,8 - 10 years,2 - 4 years,PhD,Woman
1643,25-34,80840.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
1644,25-34,76140.0,0.0,8 - 10 years,5-7 years,College degree,Woman
1645,55-64,98700.0,37600.0,31 - 40 years,21 - 30 years,College degree,Woman
1646,18-24,61100.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
1647,35-44,60258.7,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1648,25-34,48410.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
1649,35-44,81780.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Non-binary
1650,35-44,94000.0,5640.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1651,25-34,46285.2,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1652,35-44,52640.0,940.0,11 - 20 years,11 - 20 years,College degree,Woman
1653,25-34,35193.6,470.0,5-7 years,2 - 4 years,College degree,Woman
1654,25-34,127088.0,1880.0,11 - 20 years,11 - 20 years,College degree,Woman
1655,65 or over,188000.0,0.0,31 - 40 years,11 - 20 years,Master's degree,Woman
1656,35-44,108100.0,23500.0,21 - 30 years,8 - 10 years,Master's degree,Woman
1657,25-34,41879.82,0.0,5-7 years,2 - 4 years,Master's degree,Woman
1658,45-54,178600.0,26320.0,21 - 30 years,21 - 30 years,Master's degree,Woman
1659,25-34,157920.0,25380.0,8 - 10 years,5-7 years,Master's degree,Woman
1660,35-44,35720.0,2820.0,8 - 10 years,5-7 years,College degree,Woman
1661,35-44,65800.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1662,25-34,47000.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Woman
1663,25-34,50835.2,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1664,45-54,71011.36,1410.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1665,18-24,66740.0,6580.0,2 - 4 years,2 - 4 years,College degree,Woman
1666,35-44,423000.0,94000.0,11 - 20 years,11 - 20 years,PhD,Man
1667,25-34,67680.0,0.0,5-7 years,5-7 years,College degree,Woman
1668,35-44,47000.0,1880.0,11 - 20 years,5-7 years,High School,Woman
1669,18-24,32900.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
1670,25-34,44755.28,940.0,5-7 years,5-7 years,College degree,Woman
1671,25-34,58280.0,0.0,5-7 years,5-7 years,Master's degree,Woman
1672,25-34,55930.0,0.0,5-7 years,5-7 years,Master's degree,Woman
1673,45-54,58280.0,4230.0,21 - 30 years,11 - 20 years,College degree,Man
1674,35-44,75658.5,690.0,21 - 30 years,21 - 30 years,College degree,Woman
1675,35-44,59220.0,4700.0,11 - 20 years,5-7 years,College degree,Woman
1676,25-34,67210.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
1677,65 or over,64201.99999999999,4700.0,41 years or more,21 - 30 years,Some college,Woman
1678,45-54,86480.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1679,25-34,56400.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Man
1680,35-44,131600.0,14100.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1681,35-44,90240.0,18800.0,11 - 20 years,11 - 20 years,College degree,Woman
1682,35-44,60160.0,0.0,11 - 20 years,5-7 years,Master's degree,Woman
1683,25-34,72380.0,0.0,5-7 years,5-7 years,PhD,Woman
1684,45-54,106220.0,0.0,21 - 30 years,21 - 30 years,PhD,Woman
1685,35-44,47000.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1686,35-44,61570.0,0.0,11 - 20 years,2 - 4 years,College degree,Woman
1687,35-44,98700.0,9400.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1688,45-54,129719.99999999999,0.0,21 - 30 years,21 - 30 years,Master's degree,Man
1689,35-44,64859.99999999999,0.0,5-7 years,5-7 years,PhD,Woman
1690,35-44,110450.0,20680.0,11 - 20 years,11 - 20 years,College degree,Man
1691,35-44,84600.0,4700.0,11 - 20 years,5-7 years,Master's degree,Woman
1692,25-34,113912.95999999999,9400.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1693,45-54,81780.0,0.0,21 - 30 years,11 - 20 years,College degree,Woman
1694,55-64,138180.0,18800.0,21 - 30 years,11 - 20 years,College degree,Woman
1695,35-44,58358.81999999999,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1696,25-34,70500.0,4700.0,11 - 20 years,8 - 10 years,Some college,Man
1697,35-44,108100.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
1698,55-64,150400.0,0.0,41 years or more,31 - 40 years,College degree,Other or prefer not to answer
1699,35-44,129043.2,940.0,11 - 20 years,11 - 20 years,College degree,Woman
1700,18-24,61100.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
1701,35-44,57766.799999999996,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1702,35-44,66552.0,0.0,11 - 20 years,5-7 years,College degree,Woman
1703,35-44,63920.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1704,25-34,84600.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
1705,45-54,52790.399999999994,470.0,31 - 40 years,5-7 years,Some college,Woman
1706,45-54,65000.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
